latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.97832746,80.23890059,FLOOD,6088,N13,178,"Thiruvanmiyur, Chennai",0.179134,0.93,0.93,0.02115,SWD,YES,GOOD,0.93 x 0.93,0.93,0.93,21.1498271618,drain_size,drain_size,drain_len,21.15,179.134
12.97820331,80.23972739,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.146578,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,146.578
12.97802003,80.24108056,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.107326,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,107.326
12.97807818,80.24142824,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.094855,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,94.855
12.9782056,80.24187349,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.073023,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,73.023
12.97840391,80.24251923,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.037712,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,37.712
12.97853786,80.2430483,FLOOD,6357,N14,182,"Perungudi, Chennai",0.007648,1.45,1.45,0.286945,SWD,YES,GOOD,1.45 x 1.45,1.45,1.45,286.945,drain_size,drain_size,drain_len,286.945,7.648
12.97838921,80.24317469,FLOOD,6357,N14,182,"Perungudi, Chennai",0.00469,1.45,1.45,0.286945,SWD,YES,GOOD,1.45 x 1.45,1.45,1.45,286.945,drain_size,drain_size,drain_len,286.945,4.69
12.97881099,80.24313781,FLOOD,6064,N13,178,"Thiruvanmiyur, Chennai",0.003018,1.35,1.35,0.290002,SWD,YES,GOOD,1.35 x 1.35,1.35,1.35,290.002480774,drain_size,drain_size,drain_len,290.002,3.018
12.97835948,80.24098601,FLOOD,6080,N13,178,"Thiruvanmiyur, Chennai",0.071546,0.94,0.94,0.26068,SWD,YES,GOOD,0.94 x 0.94,0.94,0.94,260.679857127,drain_size,drain_size,drain_len,260.68,71.546
12.97510803,80.24406251,FLOOD,6374,N14,182,"Perungudi, Chennai",0.007459,1.18,1.18,1.362024,SWD,YES,GOOD,1.18 x 1.18,1.18,1.18,1362.024,drain_size,drain_size,drain_len,1362.024,7.459
12.97485907,80.24414532,FLOOD,6374,N14,182,"Perungudi, Chennai",0.003614,1.18,1.18,1.362024,SWD,YES,GOOD,1.18 x 1.18,1.18,1.18,1362.024,drain_size,drain_size,drain_len,1362.024,3.614
12.97464049,80.24420165,FLOOD,6374,N14,182,"Perungudi, Chennai",0.002418,1.18,1.18,1.362024,SWD,YES,GOOD,1.18 x 1.18,1.18,1.18,1362.024,drain_size,drain_size,drain_len,1362.024,2.418
12.93575135,80.23390364,FLOOD,7683,N15,195,"Kotivakkam, Chennai",0.001888,0.75,0.75,1.408699,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,1408.69905203,drain_size,drain_size,drain_len,1408.699,1.888
12.91398442,80.22935662,FLOOD,7793,N15,198,"Sholinganallur, Chennai",0.025239,0.75,0.75,0.368111,SIDE_DRAIN,YES,GOOD,0.75 x 0.75,0.75,0.75,368.110521193,drain_size,drain_size,drain_len,368.111,25.239
12.91143181,80.19584745,FLOOD,7442,N14,191,"Jalladianpet, Chennai",0.001194,0.75,0.75,0.303084,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,303.084,drain_size,drain_size,drain_len,303.084,1.194
12.91137396,80.1959021,FLOOD,7442,N14,191,"Jalladianpet, Chennai",0.000274,0.75,0.75,0.303084,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,303.084,drain_size,drain_size,drain_len,303.084,0.274
12.92707258,80.19776087,FLOOD,7418,N14,190,"Jalladianpet, Chennai",0.012963,1.51,1.51,1.611079,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,1611.079,drain_size,drain_size,drain_len,1611.079,12.963
12.92773986,80.19821215,FLOOD,7418,N14,190,"Jalladianpet, Chennai",0.007848,1.51,1.51,1.611079,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,1611.079,drain_size,drain_size,drain_len,1611.079,7.848
12.9358912,80.20432625,FLOOD,7418,N14,190,"Jalladianpet, Chennai",0.011293,1.51,1.51,1.611079,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,1611.079,drain_size,drain_size,drain_len,1611.079,11.293
12.94048943,80.20571563,FLOOD,7351,N14,189,"Pallikaranai, Chennai",0.052544,0.75,0.75,0.372478,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,372.478,drain_size,drain_size,drain_len,372.478,52.544
12.94122039,80.20599324,FLOOD,7339,N14,189,"Pallikaranai, Chennai",0.040454,1.51,1.51,0.932536,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,932.536,drain_size,drain_size,drain_len,932.535,40.454
12.95129029,80.21098584,FLOOD,7319,N14,188,"Madipakkam, Chennai",0.010813,1.85,1.85,1.802702,SWD,YES,GOOD,1.85 x 1.85,1.85,1.85,1802.70195857,drain_size,drain_size,drain_len,1802.702,10.813
