latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.95,80.11,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",7.100513,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,7100.513
12.95,80.17,BACKGROUND,7186,N14,188,"Madipakkam, Chennai",2.270523,0.87,0.87,0.380705,SWD,YES,GOOD,0.87 x 0.87,0.87,0.87,380.704652016,drain_size,drain_size,drain_len,380.705,2270.523
12.95,80.25,BACKGROUND,7586,N15,192,"Neelangarai, Chennai",0.02227,0.75,0.75,0.147036,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,147.036020543,drain_size,drain_size,drain_len,147.036,22.27
12.95,80.315,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",5.698941,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,5698.941
12.955,80.12,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",5.884162,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,5884.162
12.955,80.18,BACKGROUND,7151,N14,187,"Madipakkam, Chennai",1.117839,0.75,0.75,0.742285,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,742.285,drain_size,drain_size,drain_len,742.285,1117.839
12.955,80.28,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",1.868856,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,1868.856
12.955,80.345,BACKGROUND,6324,N14,181,"Kottivakkam, Chennai",8.77844,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,208.594,drain_size,drain_size,drain_len,208.594,8778.44
12.96,80.15,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",3.009585,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,3009.585
12.96,80.255,BACKGROUND,6549,N14,183,"Perungudi, Chennai",0.072844,0.7,0.7,0.326722,SWD,YES,GOOD,0.70 x 0.70,0.7,0.7,326.722,drain_size,drain_size,drain_len,326.722,72.844
12.96,80.32,BACKGROUND,6324,N14,181,"Kottivakkam, Chennai",6.012954,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,208.594,drain_size,drain_size,drain_len,208.594,6012.954
12.965,80.125,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",4.912259,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,4912.259
12.965,80.185,BACKGROUND,5069,N12,167,"Nanganallur, Chennai",0.473753,0.4,0.4,0.047107,SWD,YES,GOOD,0.40 x 0.40,0.4,0.4,47.1072018432,drain_size,drain_size,drain_len,47.107,473.753
12.965,80.29,BACKGROUND,6324,N14,181,"Kottivakkam, Chennai",2.712976,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,208.594,drain_size,drain_size,drain_len,208.594,2712.976
12.97,80.1,BACKGROUND,3852,N12,156,"Ramapuram, Chennai",7.345333,1.05,1.05,0.285659,SWD,YES,GOOD,1.05 x 1.05,1.05,1.05,285.65859935,drain_size,drain_size,drain_len,285.659,7345.333
12.97,80.16,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",1.480791,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,1480.791
12.97,80.27,BACKGROUND,6324,N14,181,"Kottivakkam, Chennai",0.546808,0.3,0.3,0.208594,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,208.594,drain_size,drain_size,drain_len,208.594,546.808
12.97,80.335,BACKGROUND,6110,N13,179,"Adayar, Chennai",7.45802,0.76,0.76,0.451446,SWD,YES,GOOD,0.76 x 0.76,0.76,0.76,451.446268571,drain_size,drain_size,drain_len,451.446,7458.02
12.975,80.14,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",3.021212,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,3021.212
12.975,80.265,BACKGROUND,6242,N13,180,"Thiruvanmiyur, Chennai",0.209494,1.21,1.21,0.361499,SWD,YES,GOOD,1.21 x 1.21,1.21,1.21,361.498575215,drain_size,drain_size,drain_len,361.498,209.494
12.975,80.325,BACKGROUND,6110,N13,179,"Adayar, Chennai",6.264766,0.76,0.76,0.451446,SWD,YES,GOOD,0.76 x 0.76,0.76,0.76,451.446268571,drain_size,drain_size,drain_len,451.446,6264.766
12.98,80.135,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",3.481622,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,3481.622
12.98,80.265,BACKGROUND,6252,N13,180,"Thiruvanmiyur, Chennai",0.144506,0.99,0.99,0.141337,SWD,YES,GOOD,0.99 x 0.99,0.99,0.99,141.337483763,drain_size,drain_size,drain_len,141.338,144.506
12.98,80.325,BACKGROUND,6106,N13,179,"Adayar, Chennai",6.147913,1.3,1.3,0.978216,SWD,YES,GOOD,1.3 x 1.3,1.3,1.3,978.215628295,drain_size,drain_size,drain_len,978.216,6147.913
12.985,80.135,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",3.499871,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,3499.871
12.985,80.255,BACKGROUND,5523,N13,173,"Adayar OT,Chennai",0.019346,1.6,1.6,0.472595,SWD,YES,GOOD,1.6 x 1.6,1.6,1.6,472.59491695,drain_size,drain_size,drain_len,472.595,19.346
